------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/31744       6562675 ns      6562634 ns          106
InversionCount/32256       6647360 ns      6647320 ns          104
InversionCount/32768       6781220 ns      6781233 ns          101
InversionCount/33280       6915803 ns      6915753 ns           99
InversionCount/33792       7102269 ns      7102227 ns           99
InversionCount/34304       7150599 ns      7150550 ns           97
InversionCount/34816       7283823 ns      7283834 ns           95
InversionCount/35328       7447198 ns      7447148 ns           93
InversionCount/35840       7583304 ns      7583259 ns           93
InversionCount/36352       7689563 ns      7689521 ns           89
InversionCount/36864       7819590 ns      7819602 ns           88
InversionCount/37376       7952721 ns      7952673 ns           87
InversionCount/37888       8061862 ns      8061809 ns           85
InversionCount/38400       8221760 ns      8221686 ns           84
InversionCount/38912       8341152 ns      8341105 ns           83
InversionCount/39424       8520945 ns      8520970 ns           82
InversionCount/39936       8624330 ns      8624260 ns           80
InversionCount/40448       8763128 ns      8763055 ns           79
InversionCount/40960       8893403 ns      8893334 ns           77
InversionCount/41472       9022258 ns      9022203 ns           77
InversionCount/41984       9123617 ns      9123637 ns           75
